r,mean_l2_u,mean_l2_p
1,1.0,2626668423323247.0
2,1.0000000000000002,2.0008227122521336e+16
3,1.0000000000000002,6.086853610299784e+16
4,1.0000000000000047,4.96076023482142e+16
5,1.000000000006303,1.2180229695767242e+18
6,0.9999999999999997,1.0082522481303238e+16
7,1.0000000000000004,1.074355382795774e+16
8,1.0000000000000058,2.629038077850281e+16
9,1.000000000001446,3.791058317104204e+17
10,1.0000000000000286,4.267673006273e+16
11,1.0000000000001639,8.85728487273116e+16
12,1.0000000000000082,2.884814784303738e+16
13,0.999999999999996,3.964686684251979e+16
14,0.9999999999999987,9206346728816422.0
15,1.0000000000000044,2.61531817164384e+16
16,0.9999999999999999,8666336893908105.0
17,1.0000000000000007,7386689646249180.0
18,1.000000000000003,1.5813631311062706e+16
