r_u,r_p,mean_l2_u,max_l2_u,mean_l2_p,mean_h1_u,rom_time_s,speedup
2,1,0.9059730628933275,1.0008419440541658,1.0056914796792593,0.9156709574358213,0.025457366307576498,25.83251906328455
4,2,0.8381286500429923,1.0519232819951425,0.9843637774109582,0.8050464487143993,0.025862661997477214,25.427695745536028
6,3,0.621050654435026,0.9956918805554537,1.7108500411325378,0.6357772691828849,0.02577838897705078,25.51082230262493
8,4,0.4957786318846781,1.0637159445521163,4.683396576733076,0.5053568545062129,0.026367680231730143,24.940680964801608
10,5,0.3251868163273482,0.3986672055800067,1.685638619302971,0.41091139040580416,0.02721247673034668,24.166411126706354
12,6,0.2751972123948226,0.37391414855502775,0.43924366720407265,0.36180332971109685,0.027551301320393882,23.869213754876316
14,7,0.24600932757368013,0.3440719946722286,0.2972206491281914,0.30826329927338436,0.026795117060343425,24.54282617838502
16,8,0.20117565861490985,0.2719512286122613,0.33616548805023544,0.26130425538568236,0.02562096913655599,25.667565381169926
18,9,0.16605341231970835,0.29290481013982894,0.5133941156229093,0.20078502030092135,0.027593676249186197,23.83255839137718
20,10,0.11905446750601487,0.18092816178891966,0.25504914969959525,0.14204689755626757,0.030061006546020508,21.87644314020965
22,11,0.10084534736609713,0.16467502767003742,0.4148161323876895,0.11475547592612981,0.027608140309651693,23.820072379579425
24,12,0.09521689764202684,0.1616861469756558,0.22314895381303126,0.10613824713082824,0.026106230417887368,25.190457983198396
26,13,0.0753976937177009,0.1099626452251328,0.13667597089932895,0.08850996217393942,0.038932021458943686,16.891696752376408
28,14,0.07254241950154809,0.10998657894951598,0.11783964684049099,0.0847424405339247,0.02851758003234863,23.060438497779757
30,15,0.0601133312618644,0.10502800076772262,0.14027794462483897,0.07325492854198735,0.025930023193359374,25.361639499416448
32,16,0.0453741463737249,0.09552892625688225,0.04962913568315392,0.05898604203450199,0.025810909271240235,25.478680101140355
34,17,0.03381970489676707,0.05114141740155982,0.0391337902403642,0.04894817787898707,0.025939226150512695,25.352641463765853
36,18,0.03000621183699078,0.04855823276482918,0.034314157860717294,0.043938865602121,0.02610785166422526,25.188893705207228
