method,metric,min,q1,median,mean,q3,max,std
FOM (ref),rel L2(u),0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOM (ref),rel L2(p),0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOM (ref),rel H1(u),0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROM,rel L2(u),0.002390087313748917,0.006611786827606476,0.010851470436318497,0.01185254936151986,0.014567822374468728,0.05626750296602014,0.0071142367302921465
ROM,rel L2(p),0.0017569662205830132,0.003071901557681602,0.005340713259703538,0.010534831811734183,0.009325476579319402,0.10210455039445346,0.016866198943260947
ROM,rel H1(u),0.005852907374921026,0.010926594982022406,0.014991910635816851,0.015632750597600307,0.01878787872223047,0.04918522616696213,0.006314159002333014
PODNN,rel L2(u),0.010397695618698091,0.023171454577935624,0.03741311717144365,0.ò,0.06362309377910698,0.13944428342268927,0.03032246434269407
PODNN,rel L2(p),0.0031936375126089965,0.010985518462999002,0.016106207341954053,0.021484281326931216,0.026251050501093123,0.10938621536108734,0.01623924502739475
PODNN,rel H1(u),0.015447777901517168,0.03345494676574878,0.050815754726860805,0.06397707598871352,0.08552013903036093,0.19750227404406073,0.039416055711427984
PINN,rel L2(u),0.9948322038127084,0.9985157563119235,1.0002027063850951,1.0014724429890658,1.003407078740171,1.0165376681369807,0.0044883843444180034
PINN,rel L2(p),0.9881868742259632,0.9953319991566464,0.9992044227899997,1.0000251903047672,1.005232862785236,1.008683128162869,0.005066614402437849
PINN,rel H1(u),0.9973924899638655,1.0003915502383318,1.0040255965779799,1.0074706038675187,1.0111048767752333,1.072370647054994,0.011048335897679477
